employee_id,department,job_level,experience_years,on_time_delivery_rate,bug_count,training_hours,avg_login_hours,peer_score,manager_score,target_perf_band
EMP_00001,Engineering,Mid,7.8,0.93,11,8,5.0,4.2,2.5,Medium
EMP_00002,HR,Mid,7.0,0.67,1,17,8.2,3.7,4.4,High
EMP_00003,Marketing,Senior,3.9,0.52,2,18,9.2,3.9,4.2,Medium
EMP_00004,Sales,Mid,12.3,0.74,0,22,8.6,4.0,3.1,Medium
EMP_00005,Engineering,Senior,9.8,0.62,11,18,7.7,4.3,3.0,Low
EMP_00006,Engineering,Junior,17.4,0.68,9,16,6.4,4.1,4.3,High
EMP_00007,Engineering,Senior,1.1,0.68,12,14,8.2,4.5,3.3,Medium
EMP_00008,Customer Support,Senior,13.1,0.49,0,11,6.4,2.2,3.0,Low
EMP_00009,Sales,Junior,15.4,0.54,0,10,9.2,3.6,3.2,Medium
EMP_00010,Marketing,Mid,15.3,0.76,0,18,8.3,3.5,3.7,High
EMP_00011,Engineering,Junior,17.8,0.77,9,18,10.4,3.6,4.1,Medium
EMP_00012,HR,Senior,14.7,0.8,0,15,5.3,4.2,3.8,High
EMP_00013,Customer Support,Mid,18.6,1.0,0,13,7.7,3.6,3.7,High
EMP_00014,Engineering,Mid,7.0,0.69,11,13,9.3,3.6,3.3,Medium
EMP_00015,Engineering,Junior,10.3,0.79,10,18,9.9,3.9,3.6,Medium
EMP_00016,Engineering,Junior,0.8,0.46,12,13,9.4,2.3,3.2,Low
EMP_00017,Engineering,Junior,0.6,0.72,12,15,6.8,4.7,3.3,Low
EMP_00018,Sales,Mid,5.2,0.57,1,11,7.5,3.4,4.6,High
EMP_00019,Sales,Mid,2.5,0.64,2,16,4.8,4.7,3.5,High
EMP_00020,Engineering,Senior,5.6,0.64,11,18,8.3,2.8,3.2,Low
EMP_00021,Sales,Mid,4.0,0.79,2,11,9.9,2.8,3.0,Medium
EMP_00022,Engineering,Mid,1.1,0.41,12,14,8.2,3.3,1.7,Low
EMP_00023,Engineering,Lead,18.2,0.44,9,20,9.1,3.5,5.0,Medium
EMP_00024,Engineering,Senior,0.7,0.57,12,13,9.0,3.1,5.0,High
